Client ID,Worker ID,Org,Job Number,Pay Component,Rate,Rate Number,Hours,Units,Line Date,Amount,Check Seq Number,Override State,Override Local,Override Local Jurisdiction,Labor Override
16068715,716,,,Hourly,22,,13,,,,,,,,
16068715,716,,,Overtime,22,,3,,,,,,,,
16068715,726,,,Hourly,17,,42,,,,,,,,
16068715,745,,,Hourly,18,,35,,,,,,,,
16068715,757,,,Hourly,17,,12.25,,,,,,,,
16068715,768,,,Hourly,17,,9.25,,,,,,,,
16068715,768,,,Hourly,19.29,,42,,,,,,,,
16068715,800,,,Hourly,22,,3,,,,,,,,
16068715,806,,,Hourly,17,,47.75,,,,,,,,
16068715,809,,,Overtime,22,,26.25,,,,,,,,
16068715,809,,,Hourly,22,,80,,,,,,,,
16068715,809,,,Overtime,22,,0.75,,,,,,,,
16068715,818,,,Hourly,19.29,,64.5,,,,,,,,
16068715,833,,,Hourly,19.29,,72.45,,,,,,,,
16068715,845,,,Hourly,22,,43.5,,,,,,,,
16068715,848,,,Hourly,17,,35.25,,,,,,,,
16068715,848,,,Hourly,18,,44.75,,,,,,,,
16068715,848,,,Overtime,18,,5,,,,,,,,
16068715,854,,,Hourly,17,,80,,,,,,,,
16068715,854,,,Overtime,17,,7.02,,,,,,,,
16068715,858,,,Hourly,17,,70.25,,,,,,,,
16068715,860,,,Overtime,17,,3.48,,,,,,,,
16068715,860,,,Hourly,17,,69.75,,,,,,,,
16068715,860,,,Hourly,18,,10,,,,,,,,
16068715,863,,,Hourly,19.28,,31.5,,,,,,,,
16068715,863,,,Hourly,19.29,,6.5,,,,,,,,
16068715,866,,,Hourly,17,,72,,,,,,,,
16068715,868,,,Hourly,17,,1.5,,,,,,,,
16068715,870,,,Hourly,17,,52.5,,,,,,,,
16068715,874,,,Hourly,17,,24.75,,,,,,,,
16068715,885,,,Hourly,17,,50.25,,,,,,,,
16068715,885,,,Hourly,22,,7,,,,,,,,
16068715,887,,,Hourly,23,,16,,,,,,,,
16068715,887,,,MILEAGE REIMB,0.73,,,6,,,,,,,
16068715,893,,,Overtime,17,,1.25,,,,,,,,
16068715,893,,,Hourly,17,,80,,,,,,,,
16068715,893,,,Overtime,17,,9.25,,,,,,,,
16068715,903,,,Hourly,22,,63.5,,,,,,,,
16068715,914,,,Hourly,17,,18,,,,,,,,
16068715,916,,,Hourly,17,,80,,,,,,,,
16068715,916,,,Overtime,17,,1.5,,,,,,,,
16068715,927,,,Hourly,17,,73,,,,,,,,
16068715,935,,,Hourly,17,,24.75,,,,,,,,
16068715,969,,,Hourly,17,,35.28,,,,,,,,
16068715,977,,,Hourly,19.29,,40,,,,,,,,
16068715,987,,,Hourly,17,,60.5,,,,,,,,
16068715,987,,,Hourly,19.28,,15.25,,,,,,,,
16068715,987,,,Hourly,19.29,,4.25,,,,,,,,
16068715,987,,,Overtime,19.29,,8,,,,,,,,
16068715,1001,,,Hourly,17,,50.25,,,,,,,,
16068715,1001,,,Hourly,18,,6,,,,,,,,
16068715,1002,,,Hourly,17,,80,,,,,,,,
16068715,1002,,,Overtime,17,,3.5,,,,,,,,
16068715,1013,,,Hourly,22,,12,,,,,,,,
16068715,1017,,,Hourly,17,,18.95,,,,,,,,
16068715,1026,,,Hourly,17,,25,,,,,,,,
16068715,1053,,,Hourly,18,,34.25,,,,,,,,
16068715,1059,,,Hourly,18,,80,,,,,,,,
16068715,1059,,,Overtime,18,,6.5,,,,,,,,
16068715,1061,,,Hourly,17,,70.85,,,,,,,,
16068715,1070,,,Overtime,25,,10.75,,,,,,,,
16068715,1070,,,Hourly,25,,80,,,,,,,,
16068715,1070,,,Overtime,25,,13.25,,,,,,,,
16068715,1077,,,Hourly,17,,4,,,,,,,,
16068715,1077,,,Hourly,18,,15,,,,,,,,
16068715,1079,,,Hourly,19.29,,45,,,,,,,,
16068715,1079,,,Hourly,20,,21.5,,,,,,,,
16068715,1090,,,Hourly,17,,80,,,,,,,,
16068715,1090,,,Overtime,17,,9.75,,,,,,,,
16068715,1101,,,Hourly,17,,57,,,,,,,,
16068715,1102,,,Hourly,19.28,,20.25,,,,,,,,
16068715,1102,,,Hourly,19.29,,30,,,,,,,,
16068715,1103,,,Hourly,19.29,,80,,,,,,,,
16068715,1103,,,Overtime,19.29,,4,,,,,,,,
16068715,1114,,,Hourly,17,,4.75,,,,,,,,
16068715,1128,,,Hourly,19.29,,40.75,,,,,,,,
16068715,1148,,,Hourly,17,,36.75,,,,,,,,
16068715,1148,,,Hourly,19.29,,4,,,,,,,,
16068715,1150,,,Hourly,17,,66.75,,,,,,,,
16068715,1152,,,Hourly,17,,6,,,,,,,,
16068715,1152,,,Hourly,19,,65.08,,,,,,,,
16068715,1163,,,Hourly,17,,80,,,,,,,,
16068715,1163,,,Overtime,17,,4.75,,,,,,,,
16068715,1164,,,Overtime,17,,6.75,,,,,,,,
16068715,1164,,,Overtime,22,,4.5,,,,,,,,
16068715,1164,,,Hourly,17,,59,,,,,,,,
16068715,1164,,,Hourly,22,,21,,,,,,,,
16068715,1164,,,Overtime,22,,10.5,,,,,,,,
16068715,1167,,,Hourly,19.29,,8,,,,,,,,
16068715,1173,,,Hourly,19.28,,50.25,,,,,,,,
16068715,1173,,,Hourly,19.29,,29.75,,,,,,,,
16068715,1173,,,Overtime,19.29,,7.25,,,,,,,,
16068715,1174,,,Hourly,17,,59.07,,,,,,,,
16068715,1176,,,Hourly,17,,16.25,,,,,,,,
16068715,1176,,,Hourly,22,,32,,,,,,,,
16068715,1180,,,Overtime,18,,25.25,,,,,,,,
16068715,1180,,,Overtime,23,,3,,,,,,,,
16068715,1180,,,Hourly,18,,18,,,,,,,,
16068715,1180,,,Hourly,23,,62,,,,,,,,
16068715,1180,,,Overtime,23,,24,,,,,,,,
16068715,1187,,,Hourly,17,,78.25,,,,,,,,
16068715,1194,,,Hourly,17,,28,,,,,,,,
16068715,1194,,,Hourly,19.28,,16,,,,,,,,
16068715,1194,,,Hourly,22,,14.5,,,,,,,,
16068715,1194,,,MILEAGE REIMB,0.73,,,7,,,,,,,
16068715,1203,,,Hourly,17,,15,,,,,,,,
16068715,1204,,,Hourly,17,,73.13,,,,,,,,
16068715,1204,,,Hourly,18,,6.87,,,,,,,,
16068715,1204,,,Overtime,18,,6.13,,,,,,,,
16068715,1210,,,Hourly,18,,80,,,,,,,,
16068715,1210,,,Overtime,18,,16,,,,,,,,
16068715,1211,,,Hourly,18,,79.25,,,,,,,,
16068715,1212,,,Hourly,19.29,,20,,,,,,,,
16068715,1215,,,Hourly,17,,13.25,,,,,,,,
16068715,1216,,,Hourly,17,,25,,,,,,,,
16068715,1220,,,Hourly,17,,13,,,,,,,,
16068715,1220,,,Hourly,22,,23.5,,,,,,,,
16068715,1224,,,Overtime,19.29,,3.25,,,,,,,,
16068715,1224,,,Hourly,19.29,,80,,,,,,,,
16068715,1224,,,Overtime,19.29,,19.25,,,,,,,,
16068715,1226,,,Overtime,22,,5.5,,,,,,,,
16068715,1226,,,Hourly,22,,80,,,,,,,,
16068715,1226,,,Overtime,22,,20.5,,,,,,,,
16068715,1231,,,Hourly,17,,63,,,,,,,,
16068715,1239,,,Overtime,19,,2.85,,,,,,,,
16068715,1239,,,Hourly,17,,50.58,,,,,,,,
16068715,1239,,,Hourly,19,,11.65,,,,,,,,
16068715,1250,,,Hourly,17,,21.25,,,,,,,,
16068715,1250,,,Hourly,18,,16.25,,,,,,,,
16068715,1252,,,Hourly,17,,3.25,,,,,,,,
16068715,1252,,,Hourly,18,,17.62,,,,,,,,
16068715,1252,,,Hourly,22,,33.25,,,,,,,,
16068715,1261,,,Hourly,17,,28.72,,,,,,,,
16068715,1275,,,Hourly,22,,7,,,,,,,,
16068715,1275,,,Hourly,25,,37.33,,,,,,,,
16068715,1281,,,Hourly,17,,12.5,,,,,,,,
16068715,1281,,,Hourly,22,,1,,,,,,,,
16068715,1286,,,Hourly,19.28,,16,,,,,,,,
16068715,1286,,,Hourly,19.29,,1,,,,,,,,
16068715,1291,,,Hourly,17,,37.83,,,,,,,,
16068715,1297,,,Hourly,17,,4,,,,,,,,
16068715,1314,,,Hourly,17,,22,,,,,,,,
16068715,1320,,,Hourly,17,,12.25,,,,,,,,
16068715,1324,,,Hourly,17,,4.8,,,,,,,,
16068715,1328,,,Hourly,17,,73.07,,,,,,,,
16068715,1332,,,Hourly,17,,80,,,,,,,,
16068715,1332,,,Overtime,17,,9.62,,,,,,,,
16068715,1346,,,Hourly,17,,18.75,,,,,,,,
16068715,1346,,,Hourly,19.29,,1,,,,,,,,
16068715,1353,,,Hourly,17,,15.53,,,,,,,,
16068715,1353,,,Hourly,19.28,,24.5,,,,,,,,
16068715,1353,,,Hourly,22,,39.97,,,,,,,,
16068715,1353,,,Overtime,22,,5.03,,,,,,,,
16068715,1354,,,Hourly,17,,56.08,,,,,,,,
16068715,1356,,,Hourly,17,,23.25,,,,,,,,
16068715,1357,,,Hourly,17,,24,,,,,,,,
16068715,1359,,,Hourly,17,,7.5,,,,,,,,
16068715,1359,,,Hourly,22,,23,,,,,,,,
16068715,1359,,,MILEAGE REIMB,0.73,,,16.3,,,,,,,
16068715,1362,,,Hourly,17,,80,,,,,,,,
16068715,1362,,,Overtime,17,,9.62,,,,,,,,
16068715,1365,,,Hourly,19.29,,33.5,,,,,,,,
16068715,1368,,,Hourly,19.29,,49,,,,,,,,
16068715,1370,,,Hourly,17,,49.25,,,,,,,,
16068715,1370,,,Hourly,19.29,,18.37,,,,,,,,
16068715,1374,,,Hourly,17,,9.25,,,,,,,,
16068715,1375,,,Hourly,17,,19,,,,,,,,
16068715,1377,,,Hourly,17,,21,,,,,,,,
16068715,1379,,,Hourly,17,,4.5,,,,,,,,
16068715,1384,,,Hourly,17,,17,,,,,,,,
16068715,1385,,,Hourly,19.29,,40.25,,,,,,,,
16068715,1392,,,Hourly,17,,48.77,,,,,,,,
16068715,1397,,,Hourly,19.29,,27.75,,,,,,,,
16068715,1399,,,Hourly,19.28,,28.5,,,,,,,,
16068715,1399,,,Hourly,19.29,,16.5,,,,,,,,
16068715,1401,,,Hourly,19.29,,74.93,,,,,,,,
16068715,1402,,,Hourly,17,,47.25,,,,,,,,
16068715,1404,,,Hourly,17,,32.25,,,,,,,,
16068715,1404,,,Hourly,22,,8,,,,,,,,
16068715,1405,,,Hourly,17,,43.12,,,,,,,,
16068715,1412,,,Hourly,17,,8.38,,,,,,,,
16068715,1412,,,Hourly,18,,8,,,,,,,,
16068715,1413,,,Hourly,17,,80,,,,,,,,
16068715,1413,,,Overtime,17,,2.25,,,,,,,,
16068715,1415,,,Hourly,17,,72.5,,,,,,,,
16068715,1416,,,Hourly,19.28,,40,,,,,,,,
16068715,1416,,,Hourly,19.29,,40,,,,,,,,
16068715,1416,,,Overtime,19.29,,16,,,,,,,,
16068715,1419,,,Hourly,17,,27.5,,,,,,,,
16068715,1420,,,Hourly,17,,17.5,,,,,,,,
16068715,1420,,,Hourly,22,,19.37,,,,,,,,
16068715,1421,,,Hourly,17,,15.5,,,,,,,,
16068715,1421,,,Hourly,19.28,,1.75,,,,,,,,
16068715,1423,,,Hourly,19.29,,37.5,,,,,,,,
16068715,1424,,,Overtime,17,,0.25,,,,,,,,
16068715,1424,,,Hourly,17,,80,,,,,,,,
16068715,1424,,,Overtime,17,,7.87,,,,,,,,
16068715,1426,,,Hourly,17,,40.37,,,,,,,,
16068715,1429,,,Hourly,19.29,,32.75,,,,,,,,
16068715,1434,,,Hourly,17,,80,,,,,,,,
16068715,1434,,,Overtime,17,,16,,,,,,,,
16068715,1436,,,Hourly,19.28,,13.5,,,,,,,,
16068715,1436,,,Hourly,19.29,,21.4,,,,,,,,
16068715,1436,,,Hourly,21,,7.75,,,,,,,,
16068715,1437,,,Hourly,17,,78,,,,,,,,
16068715,1438,,,Hourly,17,,42.25,,,,,,,,
16068715,1440,,,Hourly,22,,56.75,,,,,,,,
16068715,1442,,,Hourly,17,,9.75,,,,,,,,
16068715,1443,,,Hourly,17,,17.75,,,,,,,,
16068715,1443,,,Hourly,18,,2,,,,,,,,
16068715,1444,,,Hourly,17,,18,,,,,,,,
16068715,1445,,,Hourly,19.28,,22,,,,,,,,
16068715,1445,,,Hourly,19.29,,18.75,,,,,,,,
16068715,1446,,,Hourly,18,,10,,,,,,,,
16068715,1446,,,Hourly,19.28,,6.62,,,,,,,,
16068715,1446,,,Hourly,19.29,,4,,,,,,,,
16068715,1446,,,Hourly,22,,4,,,,,,,,
16068715,1447,,,Hourly,17,,15,,,,,,,,
16068715,1448,,,Hourly,17,,6.25,,,,,,,,
16068715,1448,,,Hourly,19.28,,9.77,,,,,,,,
16068715,1448,,,Hourly,19.29,,15.53,,,,,,,,
16068715,1449,,,Hourly,17,,25.5,,,,,,,,
16068715,1450,,,Hourly,18,,8.08,,,,,,,,
16068715,1452,,,Hourly,22,,36.25,,,,,,,,
16068715,1452,,,MILEAGE REIMB,0.73,,,15,,,,,,,
16068715,1454,,,Hourly,19.28,,8.25,,,,,,,,
16068715,1454,,,Hourly,19.29,,8,,,,,,,,
16068715,1455,,,Hourly,19,,18.75,,,,,,,,
16068715,1455,,,Hourly,19.28,,5.25,,,,,,,,
16068715,1455,,,Hourly,19.29,,5,,,,,,,,
16068715,1456,,,Hourly,19.29,,4.5,,,,,,,,
16068715,1459,,,Hourly,17,,0.25,,,,,,,,
16068715,1463,,,Hourly,17,,8,,,,,,,,
16068715,1465,,,Hourly,17,,2,,,,,,,,
16068715,1931,,,Hourly,17,,10,,,,,,,,
16068715,1388,,,Hourly,26,,39.2,,,,,,,,
16068715,1388,,,MILEAGE REIMB,0.73,,,205,,,,,,,
16068715,1242,,,Hourly,80,,21,,,,,,,,
16068715,1242,,,On call Weekdays,50,,12,,,,,,,,
16068715,1242,,,On call Weekends,100,,4,,,,,,,,
16068715,1242,,,Hourly,45,,10,,,,,,,,
16068715,1242,,,Hourly,10,,21,,,,,,,,
16068715,1242,,,MILEAGE REIMB,0.73,,,1016,,,,,,,
16068715,1414,,,Hourly,75,,2,,,,,,,,
16068715,1414,,,Hourly,40,,4,,,,,,,,
16068715,1414,,,Hourly,50,,5,,,,,,,,
16068715,1414,,,Hourly,100,,2,,,,,,,,
16068715,1414,,,MILEAGE REIMB,0.73,,,94,,,,,,,
16068715,1351,,,Hourly,30,,80,,,,,,,,
16068715,1351,,,Overtime,30,,19.75,,,,,,,,
16068715,1351,,,Overtime,22,,2,,,,,,,,
16068715,1351,,,MILEAGE REIMB,0.73,,,884,,,,,,,
16068715,1162,,,Hourly,50,,25.71333333,,,,,,,,
16068715,1162,,,MILEAGE REIMB,0.73,,,31.7,,,,,,,
16068715,1205,,,MILEAGE REIMB,0.73,,,299.6,,,,,,,
16068715,219,,,MILEAGE REIMB,0.73,,,71.2,,,,,,,
16068715,928,,,MILEAGE REIMB,0.73,,,559,,,,,,,
16068715,800,,,MILEAGE REIMB,0.73,,,10,,,,,,,
16068715,420,,,MILEAGE REIMB,0.73,,,81,,,,,,,
16068715,1023,,,MILEAGE REIMB,0.73,,,191.6,,,,,,,
16068715,800,,,Hourly,25,,1.25,,,,,,,,
16068715,1462,,,Hourly,19,,3,,,,,,,,
16068715,1460,,,Hourly,19,,3,,,,,,,,
16068715,1461,,,Hourly,19,,3,,,,,,,,
16068715,1463,,,Hourly,19,,3,,,,,,,,
16068715,1464,,,Hourly,19,,3,,,,,,,,
16068715,1468,,,Hourly,19,,3,,,,,,,,
16068715,1467,,,Hourly,19,,3,,,,,,,,
16068715,1470,,,Hourly,19,,3,,,,,,,,
16068715,887,,,Hourly,23,,4,,,,,,,,
16068715,55,,,Hourly,24,,16.5,,,,,,,,
16068715,271,,,Hourly,22.5,,6,,,,,,,,
16068715,419,,,Hourly,19.29,,6,,,,,,,,
16068715,1059,,,Hourly,18,,8,,,,,,,,
